County,Year,Votes_DEM,Votes_REP,Lat,Long,Population,dem_per_capita,rep_per_capita
RUTHERFORD,2008,9641,18769,35.4026,-81.9198,64444,0.14960275588107505,0.29124511203525544
SAMPSON,2008,11836,14038,34.9916,-78.3714,59036,0.200487837929399,0.2377871129480317
SCOTLAND,2008,8151,6005,34.8409,-79.4804,34174,0.23851466026804002,0.17571838239597354
STANLY,2008,8878,19329,35.3119,-80.251,62504,0.14203890950979137,0.3092442083706643
STOKES,2008,6875,14488,36.4019,-80.2397,44520,0.1544249775381851,0.32542677448337826
SURRY,2008,10475,18730,36.4146,-80.688,71359,0.14679297635897365,0.26247565128435096
SWAIN,2008,2806,2900,35.4868,-83.4928,14117,0.19876744350782743,0.20542608202875964
TRANSYLVANIA,2008,7275,9401,35.2021,-82.7982,32986,0.22054811131995392,0.2849996968410841
TYRRELL,2008,933,960,35.8172,-76.209,3245,0.2875192604006163,0.29583975346687214
UNION,2008,31189,54123,34.9884,-80.5307,238267,0.13089936919506268,0.2271527320191214
